,org_number,name,construction_year,housing_coop_id
4370,716419-3984,BRF Paraden 1,1931.0,272544
4371,716419-4008,BRF Drommen 1,,80922
4372,716419-4057,BRF Karlsvik 43,,82842
4373,716419-4065,BRF Kommendören 40,,44660
4374,716419-4073,BRF Bananen 41,1905.0,50807
4375,716419-4115,BRF Borgen 74,1924.0,48999
4376,716419-4123,BRF Hugin 4,1913.0,267689
4377,716419-4131,BRF Turbinen 27,,80410
4378,716419-4172,BRF Adlern Mindre 9,,265791
4379,716419-4180,BRF Stenhuggaren 11,1936.0,273576
4380,716419-4214,BRF Kattryggen 11,1890.0,266957
4381,716419-4248,BRF Karby,1986.0,54276
4382,716419-4289,BRF Davidslund,1926.0,278658
4383,716419-4297,BRF Fänriken 6,1921.0,44696
4384,716419-4305,BRF Vinkremlan,1986.0,46388
4385,716419-4313,BRF Slånsätra,1986.0,54941
4386,716419-4321,BRF Videsätra,1987.0,46709
4387,716419-4339,BRF Arkitekten 6,1959.0,268381
4388,716419-4362,BRF Lönnen Nr 14,,79831
4389,716419-4370,BRF Musketören 1,,83930
4390,716419-4388,BRF Vätterosen,,82033
4391,716419-4396,BRF Smaragden Nr 2,1889.0,276358
4392,716419-4412,BRF Fyrväpplingen 11,1938.0,158865
4393,716419-4438,BRF Rudtorp 4,1960.0,56874
4394,716419-4446,BRF Reveljen 1 & 11,1993.0,53976
4395,716419-4453,BRF Satiren Nr 5,,66904
4396,716419-4461,BRF Arkaden 2,1942.0,53600
4397,716419-4487,BRF Kronkvarnen 14,1911.0,83212
4398,716419-4511,BRF Jaktvarvet 7,1931.0,108606
4399,716419-4537,BRF Lindormen 30,1883.0,49568
4400,716419-4545,BRF Dammsugaren 4,1939.0,79228
4401,716419-4560,BRF Koppen,1942.0,271548
4402,716419-4586,BRF Vale 29,1926.0,267976
4403,716419-4602,BRF Furan,2008.0,273857
4404,716419-4610,BRF Oljekannan,2006.0,82145
4405,716419-4628,Riksbyggen BRF Sorunda,1991.0,278503
4406,716419-4636,Riksbyggen BRF Ösmohus Nr 1,1991.0,80645
4407,716419-4644,Riksbyggen BRF Lycksaligheten,2009.0,48134
4408,716419-4651,Riksbyggen BRF Gesunden,1990.0,78701
4409,716419-4669,Riksbyggen BRF Dagen,1990.0,56708
4410,716419-4677,BRF Årsta Torg,1993.0,268046
4411,716419-4685,Riksbyggen BRF Läkarvillan,1929.0,279777
4412,716419-4693,BRF Mårtensbergs BRD i Vendelsö,1988.0,271274
4413,716419-4727,BRF Perstorp,1986.0,225775
4414,716419-4743,BRF Träffen 3,1928.0,270313
4415,716419-4750,BRF Nejlikan nr 32,1924.0,278924
4416,716419-4792,BRF Topasen,1990.0,273462
4417,716419-4800,BRF Valkyrian 6,1906.0,51640
4418,716419-4818,BRF Hornblåsaren 12,1995.0,81125
4419,716419-4867,BRF Ässjan 2,1929.0,49741
4420,716419-4875,BRF Stockholm Baggen 17,1906.0,267160
4421,716419-4891,BRF Rudolf,1905.0,283205
4422,716419-4925,BRF Psalmboken 1,,274263
4423,716419-4933,BRF Oporto 1,,43695
4424,716419-4941,BRF Pokalen 6,1930.0,267882
4425,716419-4982,BRF Myten 6,1931.0,276302
4426,716419-4990,BRF bävern 17,,80873
4427,716419-5047,BRF Apeln 7,1946.0,78789
4428,716419-5054,BRF Bonden Större 31,,88622
4429,716419-5062,BRF Liljekungen,1985.0,273689
4430,716419-5104,BRF Vakteln 6,1898.0,284066
4431,716419-5112,BRF Framnäs 5,1946.0,82655
4432,716419-5146,BRF Nebulosan 14,,269141
4433,716419-5153,BRF Verkstadsklubben 42,1938.0,279457
4434,716419-5161,BRF Lägret 3,1896.0,266860
4435,716419-5195,BRF Oxeln 9,1939.0,79975
4436,716419-5237,BRF Skolmästaren 8,,55283
4437,716419-5294,BRF Urnan 1,,82084
4438,716419-5328,BRF Bygatan,1968.0,50064
4439,716419-5351,BRF Musen,,268843
4440,716419-5369,BRF Torshammaren 1-4,1945.0,57546
4441,716419-5575,BRF Båtsmannen Mindre Nr 9,1918.0,83255
4442,716419-5591,BRF Halvmilen 4,,270760
4443,716419-5609,BRF Lommen,1936.0,267178
4444,716419-5625,BRF Morkullan 22,1929.0,268235
4445,716419-5666,BRF Facklan 6,1888.0,269904
4446,716419-5708,BRF Kattan Mindre,1929.0,92232
4447,716419-5724,BRF Vattentornet 3,1938.0,53433
4448,716419-5732,BRF Schaktmästaren 16,,273217
4449,716419-5757,BRF Ripan 12,1929.0,273343
4450,716419-5765,BRF Isbjörnen 35,1978.0,80446
4451,716419-5781,BRF Brittgården,1986.0,268928
4452,716419-5807,BRF Svanjungfrun 2,,120886
4453,716419-5831,BRF Lägret 4,1887.0,81450
4454,716419-5849,BRF Fanan Nr 5,1896.0,76627
4455,716419-5856,BRF Hiertagården,1988.0,80241
4456,716419-5872,"BRF Kasernen 5, Frösundavik",1924.0,283402
4457,716419-5880,BRF Granen 8,1935.0,273016
4458,716419-5914,BRF Skånsta Södra,1986.0,82612
4459,716419-5922,BRF Björken nr 12,1940.0,272737
4460,716419-5955,HSB BRF Fullersta,1988.0,86654
4461,716419-5997,BRF Smältan 10,,79262
4462,716419-6052,BRF Korslöt,1986.0,117236
4463,716419-6060,BRF Rödbacka,1987.0,276800
4464,716419-6086,BRF Hamnen,2009.0,52620
4465,716419-6094,BRF Mälarslingan,,50165
4466,716419-6102,Riksbyggen BRF Stockholmshus nr 47,1990.0,50329
4467,716419-6110,Riksbyggen BRF albyhus nr 1,1989.0,82940
4468,716419-6128,Riksbyggen BRF Slusstornet,2004.0,58600
4469,716419-6151,BRF Killingen 12,1908.0,77813
4470,716419-6169,BRF Odens Ros,,269437
4471,716419-6292,HSB BRF Syrenen,1989.0,267541
4472,716419-6300,Riksbyggen BRF Tuna Backar,1987.0,275488
4473,716419-6326,BRF Morkullan 28,1905.0,95041
4474,716419-6334,HSB BRF Skrivstället 28-34 i Stockholm,1949.0,270843
4475,716419-6383,BRF Häradsdomaren Nr 1,1940.0,268103
4476,716419-6391,BRF Mörbybacken 1,1956.0,52039
4477,716419-6409,BRF Polarforskaren 14,1939.0,268431
4478,716419-6466,Riksbyggen BRF Ritorps Hage,2003.0,78820
4479,716419-6490,BRF Draken 19,,97793
4480,716419-6508,BRF Kabeludden,1986.0,48416
4481,716419-6516,BRF Långbänken,1987.0,271972
4482,716419-6524,BRF Dalagatan 74,1905.0,79553
4483,716419-6540,HSB BRF Illern i Nacka,1989.0,270479
4484,716419-6557,HSB BRF Minken nr 286,1989.0,46459
4485,716419-6565,HSB BRF Mården i Nacka,1989.0,79266
4486,716419-6573,HSB BRF Uttern 284 i Nacka,1990.0,49389
4487,716419-6607,BRF Norra Ektorp,1987.0,68492
4488,716419-6615,BRF Sanavägen,1987.0,50494
4489,716419-6631,HSB BRF Rodret Nr 10 i Nynäshamn,1986.0,277387
4490,716419-6649,BRF Viggeby,,79587
4491,716419-6755,BRF Rosendal nr 15,1907.0,77837
4492,716419-6763,BRF Marsfjället 4,1938.0,269586
4493,716419-6789,BRF Lasset 1,1945.0,266745
4494,716419-6797,BRF Brandvakten 3,1925.0,55265
4495,716419-6839,BRF Norrtälje 18,1927.0,57439
4496,716419-6888,BRF Muttern 4 i Stockholm,1911.0,53046
4497,716419-6904,BRF Sturegården,2001.0,269052
4498,716419-6938,BRF Skogsmarken 21,1938.0,81806
4499,716419-6979,BRF Älgen 23,,276174
4500,716419-6987,BRF Renen 21,1886.0,83085
4501,716419-7001,BRF Ängshöjden,1991.0,47782
4502,716419-7019,BRF Tuben 14,,270537
4503,716419-7027,BRF Schaktmästaren 15,1929.0,56619
4504,716419-7043,BRF Smedsbacken 31,1939.0,266819
4505,716419-7068,BRF Psalmboken 3,,56962
4506,716419-7076,BRF Räven 9,,267747
4507,716419-7100,BRF Norra Agnegatan 36,1906.0,50615
4508,716419-7118,BRF Göken 14,1912.0,96912
4509,716419-7167,BRF Hornblåsaren 5,,269500
4510,716419-7175,BRF Omberg 1,1934.0,82765
4511,716419-7183,BRF Valfisken 32,1939.0,272216
4512,716419-7191,BRF Markisen,1905.0,79402
4513,716419-7209,BRF Mälarstrand,1925.0,81850
4514,716419-7241,BRF Bojen 11,,79825
4515,716419-7274,BRF Norra Vasa,1907.0,81867
4516,716419-7324,BRF Linden 14,1943.0,45792
4517,716419-7340,BRF Trumpetaren 21,,83533
4518,716419-7373,BRF Valfisken 3,1929.0,273775
4519,716419-7381,BRF Torkan 13,1938.0,86465
4520,716419-7423,BRF Näktergalen 25,,271873
4521,716419-7431,BRF Tången 12,,80590
4522,716419-7449,BRF Krabaten 5,1897.0,79654
4523,716419-7506,BRF Stengodset 16,,48072
4524,716419-7514,BRF Kornetten 8,1913.0,267737
4525,716419-7555,BRF Ingenjören 3,1964.0,270835
4526,716419-7563,BRF Blåräven 2,1980.0,81982
4527,716419-7597,BRF Mowitz 5,1943.0,242516
4528,716419-7621,BRF Astraea 10,,273840
4529,716419-7654,BRF Pennan 9,,82049
4530,716419-7662,BRF Nebulosan 19,1884.0,68559
4531,716419-7688,BRF Fader Berg 6,1943.0,49924
4532,716419-7696,BRF Brunfisken 24,1932.0,268560
4533,716419-7746,BRF Hagagatan 30,1929.0,47979
4534,716419-7795,BRF Lindvallsplan 4,1937.0,48235
4535,716419-7845,BRF Gundersberg,1960.0,272633
4536,716419-7860,BRF Udden 1,,284263
4537,716419-7878,BRF Gustav 5,1940.0,266870
4538,716419-7910,BRF Träfiberplattan 2,1950.0,80275
4539,716419-7951,BRF Steningeterrassen,1987.0,267288
4540,716419-7993,BRF Aludden Strand,1985.0,83858
4541,716419-8017,BRF Pahl Nr 10,1884.0,79172
4542,716419-8025,BRF Melonen 2,1932.0,83151
4543,716419-8033,BRF Björken 10,1929.0,274406
4544,716419-8058,BRF Silvieberg 3,,49910
4545,716419-8082,BRF Järven,1959.0,48655
4546,716419-8090,BRF Vattuormen 41,1929.0,57858
4547,716419-8108,BRF Bullarhöjden,1946.0,81745
4548,716419-8116,BRF Ångpannan 13,1930.0,79219
4549,716419-8132,BRF Heimdal 27,,279849
4550,716419-8140,BRF Globen,1944.0,44870
4551,716419-8157,BRF Sleipner 8,1902.0,80356
4552,716419-8165,BRF Nejlikan 5,1905.0,82871
4553,716419-8173,BRF Bergslagen 18,1885.0,81608
4554,716419-8215,BRF Inedal 16,1978.0,50151
4555,716419-8223,BRF Kulsprutan 4,1910.0,53987
4556,716419-8256,BRF Skatan 7,1916.0,43372
4557,716419-8264,BRF Småland 18,1887.0,82204
4558,716419-8272,BRF Räkningen 1,1942.0,79682
4559,716419-8280,BRF Räkningen 2,,270343
4560,716419-8298,BRF Murmästaren 12,1929.0,267796
4561,716419-8306,BRF Säbyhus,1989.0,79631
4562,716419-8314,BRF Säbyborg i Rönninge,,78513
4563,716419-8322,BRF Treffen Nr 1,,268883
4564,716419-8363,BRF Vapensmeden 7,1923.0,55798
4565,716419-8371,BRF Loket 25,1929.0,49038
4566,716419-8397,BRF Gardisten 10,,269257
4567,716419-8405,BRF Ekstubben 2,1936.0,273592
4568,716419-8413,BRF Valhallavägen 172,1937.0,53465
4569,716419-8462,HSB BRF Optimus,1989.0,273702
4570,716419-8470,BRF Jaktvägen i Upplands Väsby,1990.0,266430
4571,716419-8520,BRF Skogalund,1940.0,277131
4572,716419-8579,BRF Torsborgen 3,1946.0,48585
4573,716419-8587,HSB BRF Högvreten,1988.0,269897
4574,716419-8611,BRF Kasernen 14,,266987
4575,716419-8637,BRF Nybygget 20,1926.0,50311
4576,716419-8645,BRF Torsgränd 4,1986.0,271310
4577,716419-8652,BRF Killingen 28,1929.0,49168
4578,716419-8660,HSB BRF Gläntan,1990.0,75898
4579,716419-8702,BRF Långseleringen,1954.0,271433
4580,716419-8710,BRF Glan-Årsta,1947.0,49350
4581,716419-8751,BRF Grantorp,1975.0,53110
4582,716419-8769,HSB BRF Kullen,1975.0,78766
4583,716419-8793,BRF Stensunda,1987.0,173078
4584,716419-8835,BRF Roslagen 3,1931.0,272964
4585,716419-8884,BRF Vinetiketten 11,1987.0,273096
4586,716419-8892,BRF Vinetiketten 14,,77959
4587,716419-8900,BRF Spinnaren,1939.0,56550
4588,716419-8926,BRF Brännis 92,1935.0,59848
4589,716419-8942,BRF Jaktvarvet 5,1931.0,57039
4590,716419-8983,BRF Urnan 11,,50391
4591,716419-9023,BRF Snödroppen nr 1,,51618
4592,716419-9049,BRF Diamanten 9,1909.0,267102
4593,716419-9056,BRF Buketten 3,,96113
4594,716419-9098,BRF Vinetiketten 10,1987.0,83694
4595,716419-9106,BRF Vinglöggen,1987.0,121925
4596,716419-9130,HSB BRF Åkaren i Nynäshamn,1988.0,266696
4597,716419-9171,BRF Målaren 3,1921.0,49668
4598,716419-9197,BRF Lokföraren,1987.0,82905
4599,716419-9205,BRF Vinetiketten 13,1987.0,270546
4600,716419-9239,BRF Liljan,1991.0,82362
4601,716419-9254,BRF Konsolen,,44064
4602,716419-9270,BRF Lejonet 36,1956.0,79410
4603,716419-9304,BRF Forstena 3,1934.0,278523
4604,716419-9312,BRF Isbrytaren 28,1930.0,49873
4605,716419-9379,BRF Framnäs 8,2023.0,276824
4606,716419-9395,BRF Stolmakaren 9,1879.0,57502
4607,716419-9403,BRF Kyrkberget 11,1988.0,58598
4608,716419-9411,BRF Falken 4,,274140
4609,716419-9429,BRF Lyckan 9,1936.0,284311
4610,716419-9437,BRF Vildsvinet 25,1894.0,77568
4611,716419-9452,BRF Draget,1929.0,83683
4612,716419-9478,BRF Timmermannen 2,2004.0,242349
4613,716419-9502,Riksbyggen BRF Albyhus nr 3,1990.0,267100
4614,716419-9510,Riksbyggen BRF Albyhus nr 2,1990.0,77011
4615,716419-9528,BRF Kakelugnen 8,1913.0,80308
4616,716419-9544,HSB BRF Spegeln i Täby,1987.0,268867
4617,716419-9668,BRF Astrea 14,1979.0,267341
4618,716419-9676,BRF Husspindeln 1 ,1939.0,272375
4619,716419-9692,BRF Mjölnaren 3,1937.0,277435
4620,716419-9767,BRF Grannarne 2,1968.0,266634
4621,716419-9809,BRF Torsviggen,1946.0,80897
4622,716419-9817,BRF Lyran 12,1932.0,77760
4623,716419-9825,BRF Oxeln 1,1913.0,53525
4624,716419-9858,BRF Havssvalget 19,,50530
4625,716419-9866,BRF Skålen 16-17,1913.0,46088
4626,716419-9874,BRF Nybrogatan 63,,81106
4627,716419-9940,BRF Grev Turegatan 75,1905.0,277127
4628,716419-9957,BRF Hornblåsaren nr 13,1929.0,55112
4629,716419-9965,BRF Muraren 7,1915.0,273984
4630,716419-9973,BRF Ädelman mindre nr 19,,285455
4631,716419-9981,BRF Hälla 13,1950.0,58447
4632,716420-0011,BRF Statyetten 1,1945.0,82044
4633,716420-0029,BRF Nybygget 19 ,2010.0,57802
4634,716420-0045,BRF Ängslyckan i Järfälla,1990.0,55982
4635,716420-0052,BRF Västergården i Vallentuna,1989.0,78604
4636,716420-0060,BRF Kullaberg 1,,80730
4637,716420-0169,BRF Trofastheten 1,,53993
4638,716420-0177,BRF Sirius 8,1929.0,267945
4639,716420-0185,BRF Skatan 12,1916.0,279358
4640,716420-0227,BRF Träsliperiet 2 & 3 i Stockholms län,1950.0,57666
4641,716420-0235,BRF Solhäll,1904.0,282863
4642,716420-0243,BRF Rosendal Mindre 29,1897.0,83442
4643,716420-0250,BRF Ripan 7,1929.0,266986
4644,716420-0268,BRF Sätuna torg,2013.0,56681
4645,716420-0292,BRF Fågelbro 3,1989.0,82137
4646,716420-0300,BRF Fågelbro 4,1989.0,271408
4647,716420-0318,BRF Fågelbro 5,1989.0,79891
4648,716420-0326,BRF Fågelbro 6,1988.0,123881
4649,716420-0334,BRF Fågelbro 7,1988.0,271397
4650,716420-0367,BRF Lärarinnan,1994.0,257217
4651,716420-0417,BRF Haga 2 i Vallentuna,1988.0,267298
4652,716420-0425,BRF Mössan,1934.0,267768
4653,716420-0458,BRF Artilleristen 3,1937.0,79171
4654,716420-0474,BRF Aspträdet i Åkersberga,1990.0,45026
4655,716420-0482,BRF Björkträdet,1990.0,267771
4656,716420-0490,BRF Bokträdet,1989.0,267106
4657,716420-0508,BRF Cypressträdet,1989.0,274089
4658,716420-0524,BRF Surbrunn 13,1905.0,223745
4659,716420-0532,BRF Ugglan Större 2,1939.0,82060
4660,716420-0557,BRF Gökungen 6,1931.0,279566
4661,716420-0565,BRF Sjöhästen 25,,268157
4662,716420-0581,BRF Borätten 14,1927.0,47909
4663,716420-0599,BRF Pontonjären 3,,272714
4664,716420-0607,BRF Svea-frej,1925.0,55046
4665,716420-0615,HSB BRF Dillen,1996.0,51498
4666,716420-0623,HSB BRF Sjödalen i Huddinge,2018.0,273291
4667,716420-0631,HSB BRF Odlaren i Tumba,1988.0,82306
4668,716420-0649,HSB BRF Tre källor i Norsborg,1991.0,47992
4669,716420-0672,BRF Solsången 7,,78896
4670,716420-0680,BRF Härolden nr 38,1929.0,268886
4671,716420-0698,BRF Hägerstenshamnen nr 1,1989.0,267180
4672,716420-0706,BRF Hägerstenshamnen 3,1988.0,266637
4673,716420-0714,BRF Hägerstenshamnen 2,1989.0,83013
4674,716420-0722,BRF Hägerstenshamnen nr 4,1990.0,81518
4675,716420-0862,HSB BRF Lilltorpet,1988.0,267525
4676,716420-0888,BRF Frithiofs,1988.0,83217
4677,716420-0896,BRF Almen 4,1937.0,82682
4678,716420-0961,BRF Harpan 21,,103024
4679,716420-0987,BRF Nibble Skogsbrynsby,1994.0,47055
4680,716420-1001,BRF Stiftelsen 4,1931.0,79192
4681,716420-1027,BRF Planeten 234,1880.0,48676
4682,716420-1043,BRF Halvmilen 9,,266624
4683,716420-1050,BRF Slipen 40,1939.0,83144
4684,716420-1100,BRF Minuthandlaren,,272495
4685,716420-1126,BRF Observatoriet,1989.0,84239
4686,716420-1142,BRF Munin 30,,45022
4687,716420-1159,BRF Fyrväpplingen 12,1937.0,272573
4688,716420-1183,BRF Degeln 1,1912.0,270564
4689,716420-1225,BRF Melonen 1,1932.0,267163
4690,716420-1233,BRF Morkullan 17,1909.0,267331
4691,716420-1241,BRF Hyveln 10,1915.0,57122
4692,716420-1324,Riksbyggen BRF Ekholmshöjden,1999.0,49396
4693,716420-1332,BRF Annandagen,2001.0,47999
4694,716420-1340,Riksbyggen BRF Fruktskålen,2011.0,54874
4695,716420-1357,Riksbyggen BRF Änglatrumpeten,2014.0,269934
4696,716420-1373,BRF Rådjuret 15,1880.0,273695
4697,716420-1415,BRF Almen 2,,53432
4698,716420-1423,HSB BRF Trädgården i Huddinge,1989.0,78691
4699,716420-1472,BRF Liljeholmsberget,1995.0,49362
4700,716420-1480,BRF Solitären,1992.0,58165
4701,716420-1498,BRF Puderdosan,1996.0,45035
4702,716420-1506,BRF Vinterträdgården,1996.0,49949
4703,716420-1514,BRF Fullersta Väst,1992.0,45404
4704,716420-1548,BRF Skalden 58,,267537
4705,716420-1555,HSB BRF Täppan i Södertälje,1990.0,53163
4706,716420-1571,BRF Humleboet 15,1925.0,80522
4707,716420-1621,BRF Gnejsen 2,1931.0,56472
4708,716420-1670,BRF Näktergalen 6,1882.0,267748
4709,716420-1720,BRF Gjutaren,1988.0,80298
4710,716420-1753,BRF Upplandsgatan 36,1882.0,80165
4711,716420-1787,BRF Briggen 1,1960.0,58262
4712,716420-1795,BRF Propellern 8,,274115
4713,716420-1860,BRF Trumslagaren 9,,241953
4714,716420-1944,HSB BRF Vävstolen i Järfälla,1989.0,275621
4715,716420-1969,BRF Sikreno Strand,1993.0,49572
4716,716420-2058,BRF Bergaparken 1,1990.0,46378
4717,716420-2066,BRF Bergaparken 2,1989.0,80479
4718,716420-2082,BRF Goda Grannar 18-28,,79689
4719,716420-2090,BRF Brobyggaren 7,,47469
4720,716420-2108,BRF Nederland Mindre 14,1889.0,83202
4721,716420-2116,BRF Midväst,1887.0,271072
4722,716420-2124,BRF Oden 2,,49687
4723,716420-2140,BRF Vindrutan 7,,80288
4724,716420-2165,BRF Semaforen,1988.0,81754
4725,716420-2199,BRF Blå Blom,,78012
4726,716420-2207,BRF Matteus II,,274657
4727,716420-2231,BRF Bulten 14,1929.0,49627
4728,716420-2272,BRF Rudan Större 5,1898.0,81986
4729,716420-2306,BRF Runö Gård i Åkersberga,1989.0,76855
4730,716420-2413,BRF Spöksonaten 2,1969.0,81848
4731,716420-2421,BRF Tårpilen,1989.0,267994
4732,716420-2470,BRF Fyrtornet 5,1914.0,47079
4733,716420-2488,BRF Öfre Badparken,,268165
4734,716420-2496,BRF Fontänen,,49957
4735,716420-2520,BRF Tapetmålaren 5,,282849
4736,716420-2538,BRF Smeden 8,1946.0,276503
4737,716420-2546,BRF Korallen,2007.0,270311
4738,716420-2579,BRF Trossen 1,1943.0,80749
4739,716420-2587,BRF Birger Jarl 38,,251045
4740,716420-2645,BRF Bjälken 7,1904.0,81431
4741,716420-2652,BRF Södra Stenhagen,1990.0,44203
4742,716420-2769,BRF Vattenborgen 10,1936.0,57450
4743,716420-2777,BRF Hemlyckan,1986.0,48183
4744,716420-2801,BRF Flygaren,1989.0,49156
4745,716420-2843,BRF Breviks Gård,1991.0,57245
4746,716420-2850,BRF Facklan Haga,,76344
4747,716420-2868,BRF Terränglöparen,1992.0,83313
4748,716420-2876,BRF Joggaren,1994.0,57080
4749,716420-2884,BRF Huvudgården,1991.0,58631
4750,716420-2892,BRF Södra Haga,1989.0,55994
4751,716420-2900,BRF Bokskogen,2014.0,81746
4752,716420-2926,BRF Gjutformen 2,1924.0,52042
4753,716420-2942,BRF Swedenborg,1906.0,266985
4754,716420-2991,BRF Östergården,1990.0,268407
4755,716420-3023,BRF Tuna Gård,1991.0,80115
4756,716420-3049,BRF Brandmästaren 24,,271432
4757,716420-3056,BRF Klippan 7,,275827
4758,716420-3072,HSB BRF Lyckeby,1990.0,57413
4759,716420-3080,BRF Krokanen,1992.0,274870
4760,716420-3122,BRF Jakob i Järfälla,1992.0,49340
4761,716420-3155,BRF Lantbrukaren 8,1911.0,82709
4762,716420-3163,BRF Planeten nr 5,1884.0,82189
4763,716420-3189,BRF Glöden 7,1928.0,268597
4764,716420-3197,BRF Liljan,1909.0,273763
4765,716420-3205,HSB BRF Lillsjön I Upplands-Bro,1990.0,273102
4766,716420-3213,BRF Marsvinet 4,,50211
4767,716420-3239,Fiolen BRF ,,269537
4768,716420-3247," Brf Uppgården, Ekerö Kommun",1988.0,271440
4769,716420-3254,BRF Kåken Bergsunds Strand 15 i Stockholm,1939.0,57700
4770,716420-3395,BRF Tallen 12,1944.0,76193
4771,716420-3411,BRF Rostugnen ,1989.0,80143
4772,716420-3429,BRF Primusköket 6,1934.0,81979
4773,716420-3478,BRF Geologen 2,1939.0,79547
4774,716420-3502,BRF Ordstävet 1,,277633
4775,716420-3510,BRF Harven 42,1929.0,81889
4776,716420-3593,BRF Blå Husar,1991.0,48560
4777,716420-3601,BRF Fågel Blå,1990.0,80153
4778,716420-3742,BRF Västra Galaxen 1,1990.0,48499
4779,716420-3783,BRF Kärven,1950.0,52433
4780,716420-3809,BRF Grundläggaren 5,1929.0,267574
4781,716420-3817,BRF Billingen 9,,57940
4782,716420-3841,BRF Blå Ros,1990.0,44478
4783,716420-3858,BRF Dragrontorpet,,267445
4784,716420-3908,BRF Muraren 10,1915.0,270023
4785,716420-3940,BRF Betselbo,1971.0,274060
4786,716420-3965,BRF Sirius 11,1896.0,242108
4787,716420-4096,BRF Kullasund i Vaxholm,,274540
4788,716420-4104,HSB BRF Tågmästaren i Märsta,1990.0,82063
4789,716420-4138,BRF Bersån,,55632
4790,716420-4203,BRF Dalen,1992.0,49372
4791,716420-4211,HSB BRF Eken nr 663  i Värmdö,1992.0,48186
4792,716420-4245,BRF Sveavägen 131,1929.0,268774
4793,716420-4302,BRF LYKTAN,,81476
4794,716420-4310,BRF Kantorn i Tumba,2005.0,79739
4795,716420-4336,Riksbyggen BRF Ågesta Broväg,2009.0,47556
4796,716420-4344,HSB BRF Manegen,2002.0,266640
4797,716420-4369,BRF Syrenen 1,1991.0,47847
4798,716420-4385,BRF Brobyggaren 3,1932.0,80918
4799,716420-4393,BRF Jungfrun 8,1883.0,269526
4800,716420-4427,BRF Ekensbergsparken,2009.0,52811
4801,716420-4450,HSB BRF Lyran 10,1885.0,83438
4802,716420-4500,BRF Martallen 36,1944.0,271206
4803,716420-4518,BRF Högvakten 1,1932.0,274754
4804,716420-4575,HSB BRF Vitsippan i Nynäshamn,1989.0,76216
4805,716420-4609,BRF Vale 9,2007.0,249492
4806,716420-4625,BRF Arken - Rotsunda,,46657
4807,716420-4633,BRF Torpa,1989.0,49438
4808,716420-4641,BRF Årstavillorna,1986.0,273140
4809,716420-4666,Riksbyggen BRF Ekholmsängen,2000.0,267740
4810,716420-4674,RB BRF St.Erik 1,1998.0,60284
4811,716420-4682,BRF Strandparken Kungsholmen,1997.0,56519
4812,716420-4690,Riksbyggen BRF Seglatsen,2008.0,45955
4813,716420-4708,Riksbyggen BRF Konvojen,2007.0,78723
4814,716420-4716,BRF Gångaren,2006.0,50541
4815,716420-4724,Riksbyggen BRF Hammarby Strand,1997.0,50139
4816,716420-4740,BRF Lerduvan,1993.0,76172
4817,716420-4757,BRF Talludden 1,1989.0,45055
4818,716420-4765,BRF Talludden 2,1990.0,270309
4819,716420-4773,Riksbyggen BRF Danviks Kaj,2000.0,50076
4820,716420-4781,Riksbyggen BRF Sydfrukten,2012.0,271316
4821,716420-4799,BRF Klarbäret,1992.0,55064
4822,716420-4807,BRF Visättra Ängar nr 1,1992.0,80524
4823,716420-4815,BRF Visättra Ängar nr 2,1992.0,82338
4824,716420-4823,BRF Visättra Ängar Nr 3,,266797
4825,716420-4831,BRF Brevduvan,1998.0,48682
4826,716420-4849,BRF Brunnsviken,,48805
4827,716420-4898,BRF Surbrunnen 50,1929.0,272867
4828,716420-4922,BRF Uttern i Haninge,1991.0,51663
4829,716420-4930,BRF Pungpinan,1990.0,46713
4830,716420-4948,BRF Bonden 8,1929.0,55081
4831,716420-4963,Riksbyggen BRF Hanviken,1991.0,274243
4832,716420-4997,BRF Knoppen 3,1906.0,47560
4833,716420-5036,HSB BRF Stigluckan Nr 289 i Stockholm,1992.0,79513
4834,716420-5077,Riksbyggen BRF Fredriksberg,1989.0,48567
4835,716421-0499,BRF Källängen 32,1959.0,79264
4836,716421-0515,BRF Våmbsjön,1952.0,50245
4837,716421-0523,BRF Flaggan 9,1940.0,45909
4838,716421-0564,BRF Räfsan 14,1925.0,83696
4839,716421-0572,BRF Essingeslätten 10,1938.0,273010
4840,716421-0580,BRF Slussen,1991.0,55180
4841,716421-0606,BRF Harven 8,1947.0,51574
4842,716421-0622,BRF Soltorpet 35,,274526
4843,716421-0739,BRF Rektorn,1991.0,275817
4844,716421-0754,BRF Läroboken,,268137
4845,716421-0770,BRF Almsättra,1990.0,53963
4846,716421-0820,BRF Södergatan,1993.0,48498
4847,716421-0838,BRF Söderhuset,1904.0,79281
4848,716421-0846,BRF Dykaren 33,,273003
4849,716421-0879,BRF Senaten i Nacka,1992.0,46969
4850,716421-0887,BRF Rådet i Nacka,1991.0,83581
4851,716421-0895,HSB BRF Tinget i Nacka,1990.0,56085
4852,716421-0903,BRF Vinbäret,1989.0,266767
4853,716421-0937,HSB:s Brf Konditorn nr 316 i Sthlm,1935.0,280806
4854,716421-0945,HSB BRF Snickaren nr 317 i Stockholm,1992.0,54950
4855,716421-0952,HSB BRF Timmermannen i Stockholm,1993.0,78804
4856,716421-0978,HSB BRF Rospiggen Nr 294 i Stockholm,1996.0,83670
4857,716421-0994,HSB BRF Essinge Sjöglimt i Stockholm,1998.0,161700
4858,716421-1000,HSB BRF Kanngjutaren i Stockholm,1998.0,47444
4859,716421-1018,HSB BRF Kronan i Stockholm,1989.0,83193
